nombre_entidad,nit_entidad,anio,numero_registros,nit_normalizado,entidad_corta
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2021,174,829000477,Instituto para el Fomento del Deporte y la Recreación
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2022,515,829000477,Instituto para el Fomento del Deporte y la Recreación
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2023,370,829000477,Instituto para el Fomento del Deporte y la Recreación
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2024,583,829000477,Instituto para el Fomento del Deporte y la Recreación
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2025,527,829000477,Instituto para el Fomento del Deporte y la Recreación
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",829000477,2026,320,829000477,Instituto para el Fomento del Deporte y la Recreación
CONCEJOBARRANCA,829001276,2021,143,829001276,Concejo de Barrancabermeja
CONCEJOBARRANCA,829001276,2022,303,829001276,Concejo de Barrancabermeja
CONCEJOBARRANCA,829001276,2023,304,829001276,Concejo de Barrancabermeja
CONCEJOBARRANCA,829001276,2024,269,829001276,Concejo de Barrancabermeja
CONCEJOBARRANCA,829001276,2025,298,829001276,Concejo de Barrancabermeja
CONCEJOBARRANCA,829001276,2026,229,829001276,Concejo de Barrancabermeja
EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846,2022,105,829001846,Empresa Social del Estado Barrancabermeja
EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846,2023,245,829001846,Empresa Social del Estado Barrancabermeja
EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846,2024,432,829001846,Empresa Social del Estado Barrancabermeja
EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846,2025,798,829001846,Empresa Social del Estado Barrancabermeja
EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846,2026,747,829001846,Empresa Social del Estado Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2021,14,829001855,Personería de Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2022,112,829001855,Personería de Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2023,199,829001855,Personería de Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2024,112,829001855,Personería de Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2025,149,829001855,Personería de Barrancabermeja
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,829001855,2026,73,829001855,Personería de Barrancabermeja
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,2020,7,890201900,Alcaldía Distrital de Barrancabermeja
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,2021,3035,890201900,Alcaldía Distrital de Barrancabermeja
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,2022,5855,890201900,Alcaldía Distrital de Barrancabermeja
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,2023,4790,890201900,Alcaldía Distrital de Barrancabermeja
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,2024,4853,890201900,Alcaldía Distrital de Barrancabermeja
