entidad_corta,mes_calendario,registros,contratos_unicos
Alcaldía Distrital de Barrancabermeja,2020-02,1,1
Alcaldía Distrital de Barrancabermeja,2020-03,2,2
Alcaldía Distrital de Barrancabermeja,2020-06,1,1
Alcaldía Distrital de Barrancabermeja,2020-07,2,2
Alcaldía Distrital de Barrancabermeja,2020-08,1,1
Alcaldía Distrital de Barrancabermeja,2021-01,1,1
Alcaldía Distrital de Barrancabermeja,2021-03,2,2
Alcaldía Distrital de Barrancabermeja,2021-04,139,139
Alcaldía Distrital de Barrancabermeja,2021-05,408,408
Alcaldía Distrital de Barrancabermeja,2021-06,287,287
Alcaldía Distrital de Barrancabermeja,2021-07,306,306
Alcaldía Distrital de Barrancabermeja,2021-08,518,518
Alcaldía Distrital de Barrancabermeja,2021-09,604,604
Alcaldía Distrital de Barrancabermeja,2021-10,353,353
Alcaldía Distrital de Barrancabermeja,2021-11,336,336
Alcaldía Distrital de Barrancabermeja,2021-12,81,81
Alcaldía Distrital de Barrancabermeja,2022-01,1914,1914
Alcaldía Distrital de Barrancabermeja,2022-02,930,930
Alcaldía Distrital de Barrancabermeja,2022-03,70,70
Alcaldía Distrital de Barrancabermeja,2022-04,11,11
Alcaldía Distrital de Barrancabermeja,2022-05,7,7
Alcaldía Distrital de Barrancabermeja,2022-06,15,15
Alcaldía Distrital de Barrancabermeja,2022-07,88,88
Alcaldía Distrital de Barrancabermeja,2022-08,533,533
Alcaldía Distrital de Barrancabermeja,2022-09,1481,1481
Alcaldía Distrital de Barrancabermeja,2022-10,459,459
Alcaldía Distrital de Barrancabermeja,2022-11,279,279
Alcaldía Distrital de Barrancabermeja,2022-12,68,68
Alcaldía Distrital de Barrancabermeja,2023-01,311,311
Alcaldía Distrital de Barrancabermeja,2023-02,552,552
Alcaldía Distrital de Barrancabermeja,2023-03,405,405
Alcaldía Distrital de Barrancabermeja,2023-04,279,279
Alcaldía Distrital de Barrancabermeja,2023-05,156,156
Alcaldía Distrital de Barrancabermeja,2023-06,2286,2286
Alcaldía Distrital de Barrancabermeja,2023-07,11,11
Alcaldía Distrital de Barrancabermeja,2023-08,27,27
Alcaldía Distrital de Barrancabermeja,2023-09,48,48
Alcaldía Distrital de Barrancabermeja,2023-10,34,34
Alcaldía Distrital de Barrancabermeja,2023-11,403,403
Alcaldía Distrital de Barrancabermeja,2023-12,278,278
Alcaldía Distrital de Barrancabermeja,2024-01,349,349
Alcaldía Distrital de Barrancabermeja,2024-02,502,502
Alcaldía Distrital de Barrancabermeja,2024-03,227,227
Alcaldía Distrital de Barrancabermeja,2024-04,197,197
Alcaldía Distrital de Barrancabermeja,2024-05,668,668
Alcaldía Distrital de Barrancabermeja,2024-06,166,166
Alcaldía Distrital de Barrancabermeja,2024-07,144,144
Alcaldía Distrital de Barrancabermeja,2024-08,294,294
Alcaldía Distrital de Barrancabermeja,2024-09,682,682
Alcaldía Distrital de Barrancabermeja,2024-10,1061,1061
Alcaldía Distrital de Barrancabermeja,2024-11,506,506
Alcaldía Distrital de Barrancabermeja,2024-12,57,57
Alcaldía Distrital de Barrancabermeja,2025-01,291,291
Alcaldía Distrital de Barrancabermeja,2025-02,448,448
Alcaldía Distrital de Barrancabermeja,2025-03,298,298
Alcaldía Distrital de Barrancabermeja,2025-04,293,293
Alcaldía Distrital de Barrancabermeja,2025-05,294,294
Alcaldía Distrital de Barrancabermeja,2025-06,332,332
Alcaldía Distrital de Barrancabermeja,2025-07,554,554
Alcaldía Distrital de Barrancabermeja,2025-08,405,405
Alcaldía Distrital de Barrancabermeja,2025-09,807,807
Alcaldía Distrital de Barrancabermeja,2025-10,781,781
Alcaldía Distrital de Barrancabermeja,2025-11,412,412
Alcaldía Distrital de Barrancabermeja,2025-12,76,76
Alcaldía Distrital de Barrancabermeja,2026-01,3166,3166
Alcaldía Distrital de Barrancabermeja,2026-02,13,13
Alcaldía Distrital de Barrancabermeja,2026-03,7,7
Alcaldía Distrital de Barrancabermeja,2026-04,36,36
Alcaldía Distrital de Barrancabermeja,2026-05,6,6
Alcaldía Distrital de Barrancabermeja,2026-06,13,13
Alcaldía Distrital de Barrancabermeja,2026-07,299,299
Alcaldía Distrital de Barrancabermeja,2026-08,813,813
Alcaldía Distrital de Barrancabermeja,2026-09,46,46
Concejo de Barrancabermeja,2021-07,23,23
Concejo de Barrancabermeja,2021-08,14,14
Concejo de Barrancabermeja,2021-09,39,39
Concejo de Barrancabermeja,2021-10,24,24
Concejo de Barrancabermeja,2021-11,15,15
Concejo de Barrancabermeja,2021-12,28,28
Concejo de Barrancabermeja,2022-01,84,84
Concejo de Barrancabermeja,2022-02,29,29
Concejo de Barrancabermeja,2022-05,1,1
Concejo de Barrancabermeja,2022-06,3,3
Concejo de Barrancabermeja,2022-07,15,15
Concejo de Barrancabermeja,2022-08,59,59
Concejo de Barrancabermeja,2022-09,30,30
Concejo de Barrancabermeja,2022-10,26,26
Concejo de Barrancabermeja,2022-11,26,26
Concejo de Barrancabermeja,2022-12,30,30
Concejo de Barrancabermeja,2023-01,7,7
Concejo de Barrancabermeja,2023-02,48,48
Concejo de Barrancabermeja,2023-03,71,71
Concejo de Barrancabermeja,2023-04,32,32
Concejo de Barrancabermeja,2023-05,29,29
Concejo de Barrancabermeja,2023-06,61,61
Concejo de Barrancabermeja,2023-09,1,1
Concejo de Barrancabermeja,2023-10,1,1
Concejo de Barrancabermeja,2023-11,40,40
Concejo de Barrancabermeja,2023-12,14,14
Concejo de Barrancabermeja,2024-01,11,11
Concejo de Barrancabermeja,2024-02,29,29
Concejo de Barrancabermeja,2024-03,23,23
Concejo de Barrancabermeja,2024-04,12,12
Concejo de Barrancabermeja,2024-05,24,24
Concejo de Barrancabermeja,2024-06,16,16
Concejo de Barrancabermeja,2024-07,23,23
Concejo de Barrancabermeja,2024-08,23,23
Concejo de Barrancabermeja,2024-09,32,32
Concejo de Barrancabermeja,2024-10,32,32
Concejo de Barrancabermeja,2024-11,14,14
Concejo de Barrancabermeja,2024-12,30,30
Concejo de Barrancabermeja,2025-01,7,7
Concejo de Barrancabermeja,2025-02,14,14
Concejo de Barrancabermeja,2025-03,19,19
Concejo de Barrancabermeja,2025-04,51,51
Concejo de Barrancabermeja,2025-05,28,28
Concejo de Barrancabermeja,2025-06,29,29
Concejo de Barrancabermeja,2025-07,26,26
