entidad_corta,periodo_referencia,registros,contratos_unicos,proveedores_unicos,primera_fecha,ultima_fecha
Alcaldía Distrital de Barrancabermeja,Alfonso Eljach (2020-2023),13687,13687,5342,2020-02-13,2023-12-29
Alcaldía Distrital de Barrancabermeja,Jonathan Vásquez (2024-2026 corte),14243,14243,5587,2024-01-16,2026-09-04
Concejo de Barrancabermeja,Alfonso Eljach (2020-2023),750,750,455,2021-07-02,2023-12-20
Concejo de Barrancabermeja,Jonathan Vásquez (2024-2026 corte),796,796,457,2024-01-25,2026-09-04
Contraloría de Barrancabermeja,Alfonso Eljach (2020-2023),183,183,90,2021-01-22,2023-11-30
Contraloría de Barrancabermeja,Jonathan Vásquez (2024-2026 corte),190,190,80,2024-01-11,2026-08-14
Empresa Social del Estado Barrancabermeja,Alfonso Eljach (2020-2023),350,350,202,2022-07-25,2023-12-22
Empresa Social del Estado Barrancabermeja,Jonathan Vásquez (2024-2026 corte),1977,1977,997,2024-01-02,2026-09-02
Empresa de Desarrollo Urbano y Vivienda,Alfonso Eljach (2020-2023),542,542,252,2020-05-07,2023-12-26
Empresa de Desarrollo Urbano y Vivienda,Jonathan Vásquez (2024-2026 corte),328,328,136,2024-01-18,2026-09-01
Hospital Regional del Magdalena Medio,Jonathan Vásquez (2024-2026 corte),611,611,283,2025-06-19,2026-08-28
Inspección de Tránsito y Transporte,Alfonso Eljach (2020-2023),156,156,83,2021-10-25,2023-12-15
Inspección de Tránsito y Transporte,Jonathan Vásquez (2024-2026 corte),613,613,300,2024-01-12,2026-09-04
Instituto para el Fomento del Deporte y la Recreación,Alfonso Eljach (2020-2023),1059,1059,534,2021-06-25,2023-12-20
Instituto para el Fomento del Deporte y la Recreación,Jonathan Vásquez (2024-2026 corte),1430,1430,484,2024-01-11,2026-09-04
Personería de Barrancabermeja,Alfonso Eljach (2020-2023),325,325,139,2021-10-07,2023-12-14
Personería de Barrancabermeja,Jonathan Vásquez (2024-2026 corte),334,334,187,2024-01-09,2026-09-03
