entidad_outlier,tipo_cps,anio_periodo,n,limite_bajo,limite_alto
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2021,1230,1327894.2666666668,3432841.730769231
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2022,2706,1470692.7601809956,3469811.1089341682
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2023,1943,1497049.1803278688,3986294.6460653953
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2024,1710,1996065.5737704916,5061416.017582411
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2025,2279,2007032.9670329671,4047750.252873567
Alcaldía Distrital de Barrancabermeja,Apoyo a la gestion claro,2026,2135,2083933.536585366,4025123.966942149
Alcaldía Distrital de Barrancabermeja,Profesional claro,2021,1279,2009189.283443829,10762714.285714285
Alcaldía Distrital de Barrancabermeja,Profesional claro,2022,2248,2232266.666666667,7102666.666666667
Alcaldía Distrital de Barrancabermeja,Profesional claro,2023,2032,2220172.65993266,7162352.941176471
Alcaldía Distrital de Barrancabermeja,Profesional claro,2024,2353,3010549.4505494507,8939213.333333278
Alcaldía Distrital de Barrancabermeja,Profesional claro,2025,2192,3018842.9752066117,10945082.500000471
Alcaldía Distrital de Barrancabermeja,Profesional claro,2026,1782,2575718.887232312,7102666.666666667
Concejo de Barrancabermeja,Apoyo a la gestion claro,2021,53,1425333.3957845434,11648373.333333338
Concejo de Barrancabermeja,Apoyo a la gestion claro,2022,75,1494966.8657429528,3382222.222222222
Concejo de Barrancabermeja,Apoyo a la gestion claro,2023,119,1433459.813908719,4325016.666666662
Concejo de Barrancabermeja,Apoyo a la gestion claro,2024,40,1104735.9219311762,4806315.7894736845
Concejo de Barrancabermeja,Apoyo a la gestion claro,2025,65,2007032.9670329671,3451738.047889655
Concejo de Barrancabermeja,Apoyo a la gestion claro,2026,51,2422815.523209038,3647617.9066834804
Concejo de Barrancabermeja,Profesional claro,2021,73,2029333.3333333335,11406637.362637363
Concejo de Barrancabermeja,Profesional claro,2022,167,2029333.3333333335,28559484.44444304
Concejo de Barrancabermeja,Profesional claro,2023,173,2133229.8984034834,9512500.0
Concejo de Barrancabermeja,Profesional claro,2024,213,1876825.3411071708,15828799.999999993
Concejo de Barrancabermeja,Profesional claro,2025,210,3010922.659159023,50276733.33333346
Concejo de Barrancabermeja,Profesional claro,2026,160,3224595.5223880596,15077636.054421932
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2021,14,1806761.329993536,3187843.5785440616
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2022,8,1814727.9735099338,2231610.117647059
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2023,7,1847046.140297601,2506386.511668403
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2024,8,1802525.8471714046,2464475.5353521225
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2025,13,1800431.3398081681,3345195.789473684
Contraloría de Barrancabermeja,Apoyo a la gestion claro,2026,7,2016632.2426756546,3044000.0
Contraloría de Barrancabermeja,Profesional claro,2021,37,3017844.078812593,4576696.602695629
Contraloría de Barrancabermeja,Profesional claro,2022,35,2816636.2642665715,4512546.773675762
Contraloría de Barrancabermeja,Profesional claro,2023,43,2809730.958677479,10147574.297932995
Contraloría de Barrancabermeja,Profesional claro,2024,43,2806629.08361204,20359526.50988362
Contraloría de Barrancabermeja,Profesional claro,2025,54,1808089.5135746608,20050746.367879875
Contraloría de Barrancabermeja,Profesional claro,2026,32,3098996.6386554623,6088000.0
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2020,20,1797869.4594228424,6308675.106782357
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2021,18,1736178.0852862082,2596157.3017190476
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2022,67,2020353.982300885,2624137.931034483
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2023,45,2004539.212781409,33746193.277310975
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2024,16,2001977.9021146274,3026556.869549336
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2025,19,2000187.0011801214,3964409.4736842103
Empresa de Desarrollo Urbano y Vivienda,Apoyo a la gestion claro,2026,27,2508791.208791209,4054787.0588235296
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2020,46,3992131.1475409833,5650186.590499658
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2021,38,3222385.962732919,28534259.163122214
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2022,95,3044000.0,6566150.442477876
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2023,115,2795910.709108795,72713549.99999985
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2024,65,3151268.969521045,8411413.809615074
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2025,61,3236684.336589978,7641489.655172416
Empresa de Desarrollo Urbano y Vivienda,Profesional claro,2026,69,3021922.6373626376,9371383.821847977
Hospital Regional del Magdalena Medio,Apoyo a la gestion claro,2025,38,2016235.6776595465,4101354.3937943974
Hospital Regional del Magdalena Medio,Apoyo a la gestion claro,2026,80,2160447.291666667,4355429.620257705
Hospital Regional del Magdalena Medio,Profesional claro,2025,68,2690918.3867320972,44594769.26654434
Hospital Regional del Magdalena Medio,Profesional claro,2026,171,3141350.4629578926,19180470.41322314
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2021,2,1611625.3361344538,1630618.361344538
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2022,21,1629791.7046597402,2770039.918464285
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2023,20,2003026.176895146,2770440.6569989203
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2024,51,2186722.380612972,4554568.074310345
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2025,107,2309241.379310345,4547228.666666665
Inspección de Tránsito y Transporte,Apoyo a la gestion claro,2026,95,2536666.6666666665,4025123.966942149
Inspección de Tránsito y Transporte,Profesional claro,2021,2,3044345.909090909,3112835.909090909
Inspección de Tránsito y Transporte,Profesional claro,2022,26,1851766.6666666667,10094237.539556962
Inspección de Tránsito y Transporte,Profesional claro,2023,30,2025177.1668590396,5306675.395215547
Inspección de Tránsito y Transporte,Profesional claro,2024,56,3606328.9937187117,8870370.690028407
Inspección de Tránsito y Transporte,Profesional claro,2025,100,3521983.4710743804,6063094.545454545
Inspección de Tránsito y Transporte,Profesional claro,2026,90,4025123.966942149,6625752.369146003
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2021,101,804202.9699629549,4170804.827586207
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2022,320,1602105.2631578948,3159112.876015541
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2023,185,1792212.8405365127,2868196.791443851
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2024,335,2018869.5833333335,3124351.103448267
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2025,283,2295475.4098360655,3263031.5742296916
Instituto para el Fomento del Deporte y la Recreación,Apoyo a la gestion claro,2026,161,2373094.2281879196,3461462.8571428508
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2021,38,2203669.496729654,5880037.068965517
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2022,149,2015141.7026347148,11864989.179163475
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2023,130,2195672.131147541,7383594.427156981
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2024,195,2490219.289218619,6595333.336125994
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2025,198,2694688.524590164,13078328.571428543
Instituto para el Fomento del Deporte y la Recreación,Profesional claro,2026,130,2546411.1231231233,7554044.117647058
Personería de Barrancabermeja,Apoyo a la gestion claro,2022,40,2016105.373537053,2611237.7571718344
Personería de Barrancabermeja,Apoyo a la gestion claro,2023,60,1996065.5737704916,3666694.015151514
Personería de Barrancabermeja,Apoyo a la gestion claro,2024,21,2034817.9905945947,4002859.999999999
Personería de Barrancabermeja,Apoyo a la gestion claro,2025,49,2004049.8360655736,3855733.1962162163
Personería de Barrancabermeja,Apoyo a la gestion claro,2026,9,2509906.227106227,3006949.5973597365
Personería de Barrancabermeja,Profesional claro,2021,6,3934513.9043381535,6088000.0
Personería de Barrancabermeja,Profesional claro,2022,53,3027437.0588235296,7074675.862068968
Personería de Barrancabermeja,Profesional claro,2023,112,2994098.3606557376,7202623.303085286
Personería de Barrancabermeja,Profesional claro,2024,67,1751973.4031413612,7102666.666666667
Personería de Barrancabermeja,Profesional claro,2025,62,2887741.3333333335,7709091.693653071
Personería de Barrancabermeja,Profesional claro,2026,42,3246933.3333333335,7551460.569024907
