alcalde,tipo_cps,duracion_grupo_grafica,contratos,porcentaje
Alfonso Eljach,Apoyo a la gestion claro,<1 mes,69,1.48
Alfonso Eljach,Apoyo a la gestion claro,1 mes,353,7.59
Alfonso Eljach,Apoyo a la gestion claro,2 meses,437,9.4
Alfonso Eljach,Apoyo a la gestion claro,3 meses,1136,24.44
Alfonso Eljach,Apoyo a la gestion claro,4 meses,1424,30.63
Alfonso Eljach,Apoyo a la gestion claro,5 meses,686,14.76
Alfonso Eljach,Apoyo a la gestion claro,6 meses,410,8.82
Alfonso Eljach,Apoyo a la gestion claro,7 meses,66,1.42
Alfonso Eljach,Apoyo a la gestion claro,8 meses,29,0.62
Alfonso Eljach,Apoyo a la gestion claro,9 a 12 meses,39,0.84
Alfonso Eljach,Profesional claro,<1 mes,89,2.08
Alfonso Eljach,Profesional claro,1 mes,366,8.55
Alfonso Eljach,Profesional claro,2 meses,365,8.53
Alfonso Eljach,Profesional claro,3 meses,791,18.48
Alfonso Eljach,Profesional claro,4 meses,977,22.83
Alfonso Eljach,Profesional claro,5 meses,636,14.86
Alfonso Eljach,Profesional claro,6 meses,820,19.16
Alfonso Eljach,Profesional claro,7 meses,74,1.73
Alfonso Eljach,Profesional claro,8 meses,53,1.24
Alfonso Eljach,Profesional claro,9 a 12 meses,109,2.55
Jonathan Vasquez,Apoyo a la gestion claro,<1 mes,18,0.45
Jonathan Vasquez,Apoyo a la gestion claro,1 mes,430,10.78
Jonathan Vasquez,Apoyo a la gestion claro,2 meses,1168,29.28
Jonathan Vasquez,Apoyo a la gestion claro,3 meses,1264,31.69
Jonathan Vasquez,Apoyo a la gestion claro,4 meses,633,15.87
Jonathan Vasquez,Apoyo a la gestion claro,5 meses,186,4.66
Jonathan Vasquez,Apoyo a la gestion claro,6 meses,217,5.44
Jonathan Vasquez,Apoyo a la gestion claro,7 meses,26,0.65
Jonathan Vasquez,Apoyo a la gestion claro,8 meses,6,0.15
Jonathan Vasquez,Apoyo a la gestion claro,9 a 12 meses,41,1.03
Jonathan Vasquez,Profesional claro,<1 mes,19,0.42
Jonathan Vasquez,Profesional claro,1 mes,488,10.74
Jonathan Vasquez,Profesional claro,2 meses,989,21.76
Jonathan Vasquez,Profesional claro,3 meses,977,21.5
Jonathan Vasquez,Profesional claro,4 meses,1098,24.16
Jonathan Vasquez,Profesional claro,5 meses,343,7.55
Jonathan Vasquez,Profesional claro,6 meses,510,11.22
Jonathan Vasquez,Profesional claro,7 meses,65,1.43
Jonathan Vasquez,Profesional claro,8 meses,22,0.48
Jonathan Vasquez,Profesional claro,9 a 12 meses,34,0.75
