familia_contrato,contratos,proveedores,valor_total
Servicios empresa o grupo,732,260,522930177346.63
CPS persona natural estricto,32778,9926,392266631156.97
Obra,97,75,271742091652.33
Entidad sin animo de lucro (ESAL) / Decreto 092,915,181,263295756813.1
Convenios e interadministrativos,83,31,183435926109.53
Regimen especial persona juridica o grupo,116,32,134110708374.03
Bienes y suministros,387,139,88376566033.97
Consultoria e interventoria,94,63,46724857774.56
Prestacion servicios persona natural por objeto explicito,1827,1027,23105643995.29
Arrendamiento,173,66,21321182091.38
Seguros,38,9,16065747573.0
Otros por revisar,3,3,11602150900.0
Prestacion servicios persona natural por revisar,87,35,6396051617.0
Regimen especial persona natural por revisar,171,47,6146242220.0
Comodato,63,45,1583770428.0
Asociacion publico privada,2,2,419146317.62
