id_contrato,anio,entidad,subtipo_cps,rol_objeto,senales_familia,descripcion_del_proceso,url_secop,version_clasificacion,decision_cps_manual,subtipo_manual,evidencia_url,revisor,fecha_revision
CO1.PCCNTR.2447455,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR LOS SERVICIOS COMO APOYO EN LA GESTIÓN DE LAS DISTINTAS ACTIVIDADES DE ORGANIZACIÓN Y PLANIFICACIÓN DE LA IMPLEMENTACIÓN DE LA CARACTERIZACIÓN DEL SECTOR CULTURAL DE LA SECRETARÍA DE CULTURA; TURISMO Y PATRIMONIO EN EL DISTRITO DE BARRANCABERMEJA QUE SE REQUIERAN EN MARCO DEL PROYECTO APOYO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1923773&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2474987,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR SUS SERVICIOS COMO MAESTRO EN MUSICA PARA DESARROLLAR LAS ACTIVIDADES QUE CONLLEVEN AL LOGRO DE ACTUALIZAR LAS ESTADISTICAS CULTURALES DEL DISTRITO DE BARRANCABERMEJA A TRAVES DE LA CARACTERIZACION E IDENTIFICACION DE LA COMPOSICION DEL SECTOR CULTURAL Y CREATIVO DEL DISTRITO DE BARRANCABERM,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1945075&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2478273,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR LOS SERVICIOS COMO APOYO EN LA GESTIÓN EN LAS ACTIVIDADES DE ORGANIZACIÓN E IMPRESIÓN DE DOCUMENTOS QUE SE NECESITEN PARA LA REALIZACION DE LA CARACTERIZACION DEL SECTOR CULTURAL; EN MARCO DEL PROYECTO DE APOYO AL DESARROLLO DE ACCIONES PARA IMPLEMENTAR EL PROGRAMA DE APOYO; PROMOCION Y ACCE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1947146&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2516037,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACION DE SERVICIOS PROFESIONALES UNIVERSITARIOS EN COMERCIO EXTERIOR; PARA BRINDAR APOYO Y ACOMPAÑAMIENTO EN LOS PROCESOS DE PLANEACION; MEJORA Y SEGUIMIENTO DE LAS ACTIVIDADES ESTABLECIDAS DENTRO DEL PROYECTO DE APOYO A LA GESTION TECNICA Y PROFESIONAL DEL SECTOR AMBIENTAL DEL DISTRITO DE BARR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1977039&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2521769,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO GEOGRAFO PARA BRINDAR APOYO Y ACOMPAÑAMIENTO A LA SECRETARIA DE MEDIO AMBIENTE EN LOS PROCESOS DE ELABORACIÓN; REVISION Y SEGUIMIENTO A LOS SISTEMAS DE GESTION GEOGRAFICA DENTRO DEL PROYECTO DE APOYO A LA GESTIÓN TÉCNICA Y PROFESIONAL DEL SECTOR AMBIENTAL D,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1982330&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2536514,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR SERVICIOS COMO DISEÑADOR PARA EL DESARROLLO DE CAMPAÑAS INSTITUCIONALES QUE REQUIERA LA ALCALDÍA DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1992951&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2537313,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÒN DE SERVICIOS PROFECIONALES EN FINANZAS Y RELACIONES INTERNACIONALES PARA BRIDAR APOYO Y ACOMPAÑAMIENTO A LA SUBSECRETARIA DE GESTIÒN DEL RIESGO EN LA FORMULACIÒN; ACTUALIZACIÒN Y SEGUIMIENTO A LOS PROYECTOS DE INVERSIÒN EN EL MINICIPIO DE BARRANCABERMEJA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1993576&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2558585,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACION DE SERVICIOS COMO JUDICANTE; PARA FORTALECER LAS POLITICAS DE GESTION Y DESEMPEÑO INSTITUCIONAL DEL MIPG; EN LA SECRETARIA JURIDICA EN DESARROLLO DEL PROYECTO FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLITICAS DE GESTIÓN Y DESEMPEÑO INSTITUCIONAL DE LA A,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2011026&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2754243,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS CÓMO TOPÓGRAFO PARA BRINDAR APOYO Y ACOMPAÑAMIENTO TÉCNICO A LA SECRETARÍA DE RECURSO FÍSICO DEL DISTRITO DE BARRANCABERMEJA DEL PROYECTO DE FORTALECIMIENTO INSTITUCIONAL DE LOS PROCESOS ADMINISTRATIVOS DE LA SECRETARIA DE RECURSOS FISICOS DEL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2167678&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2786392,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS PROFESONALES EN SALUD OCUPACIONAL PARA EL FORTALECIMIENTO AL PROYECTO IMPLEMENTACIÓN DE LA POLÍTICA PÚBLICA PARA LA ATENCIÓN Y PREVENCIÓN INTEGRAL DE LOS NIÑOS; NIÑAS Y ADOLESCENTES EN EL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2193533&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2850338,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS COMO TECNOLOGÍA PARA APOYAR LA FORMULACIÓN; ESTRUCTURACIÓN Y ACTUALIZACIÓN DE LOS PROYECTOS SEGÚN LA METODOLOGÍA DEL DNP EN LA SECRETARÍA DEL INTERIOR EN DESARROLLO DEL PROYECTO DE FORTALECMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLITICAS DE GESTION,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2247466&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2883401,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR SERVICIOS COMO TECNOCNOLOGA EN GESTION ADMINISTRATIVA PARA BRINDAR APOYO EN LA ORGANIZACION DOCUMENTAL Y ADMINISTRATIVA DE LOS DIFERENTES GRUPOS DE LA SECRETARIA DE ADULTO MAYOR JUVENTUD E INCLUSION SOCIAL EN DESARROLLO DEL PROYECTO DE FORTALECMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2273712&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2903652,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO GEOGRAFO PARA BRINDAR APOYO Y ACOMPAÑAMIENTO A LA SECRETARIA DE MEDIO AMBIENTE EN LOS PROCESOS DE ELABORACIÓN; REVISION Y SEGUIMIENTO A LOS SISTEMAS DE INFORMACION GEOGRAFICA DENTRO DEL PROYECTO DE APOYO A LA GESTIÓN TÉCNICA Y PROFESIONAL DEL SECTOR AMBIENT,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2289332&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2916641,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,CONSTANCIA VIGENTE DE AFILIACION A EPS Y PENSIONES; O PAGO DE APORTES AL SISTEMA GENERAL DE SEGURIDAD SOCIAL INTEGRADA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2298532&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2927260,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,Prestación de los profesionales como administrador para apoyar en los sistemas integrados de gestión y demás trámites administrativos que se requieran en la secretaría de cultura turismo y patrimonio,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2308486&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2968341,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SUS SERVICIOS COMO MAESTRO EN MUSICA PARA APOYAR EN DESARROLLO DE LAS ACTIVIDADES CULTURALES DEL SECTOR CREATIVO DEL DISTRITO DE BARRANCABERMEJA EN MARCO DEL PROYECTO APOYO AL DESARROLLO DE ACCIONES PARA IMPLEMENTAR EL PROGRAMA DE APOYO PROMOCION Y ACCESO EFECTIVO A PROCESOS CULTURALES,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2342563&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2969185,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIO A LA GESTIÓN COMO DINAMIZADOR DEL CORREGIMIENTO  SAN RAFAEL DE CHUCURRI PARA APOYAR EL DESARROLLO DE LA ESTRATEGIA DE DESARROLLO RURAL EN EL MARCO DEL PROYECTO IMPLEMENTACIÓN DE LA ESTRATEGIA DE DESARROLLO RURAL LOCAL SOY RURAL EN EL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2343501&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2970003,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS COMO TOPÓGRAFO; EN DESARROLLO DEL PROYECTO FORTALECIMIENTO DEL PROCESO DE LEGALIZACIÓN DE ASENTAMIENTOS HUMANOS EN EL DISTRITO DE BARRANCABERMEJA; SANTANDER.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2344004&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2973190,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS COMO TOPÓGRAFO; EN DESARROLLO DEL PROYECTO FORTALECIMIENTO DEL PROCESO DE LEGALIZACIÓN DE ASENTAMIENTOS HUMANOS EN EL DISTRITO DE BARRANCABERMEJA; SANTANDER.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2346801&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2981184,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTAR LOS SERVICIOS COMO ADMINISTRADOR APOYANDO EN LA REVISIÓN Y PROYECCIÓN DE LOS DOCUMENTOS Y ACTOS ADMINISTRATIVOS REQUERIDOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES MISIONALES DE LA SECRETARÍA DE CULTURA; TURISMO Y PATRIMONIO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2351960&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3014321,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,CONSTANCIA VIGENTE DE AFILIACION A EPS Y PENSIONES; O PAGO DE APORTES AL SISTEMA GENERAL DE SEGURIDAD SOCIAL INTEGRADA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2378952&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
