anio_periodo,mes_periodo,cps,pct_del_anio
2021,4,134,4.7
2021,5,395,13.9
2021,6,275,9.7
2021,7,270,9.5
2021,8,498,17.5
2021,9,574,20.2
2021,10,334,11.8
2021,11,298,10.5
2021,12,62,2.2
2022,1,1863,33.6
2022,2,918,16.6
2022,3,23,0.4
2022,6,1,0.0
2022,7,73,1.3
2022,8,503,9.1
2022,9,1428,25.8
2022,10,439,7.9
2022,11,259,4.7
2022,12,33,0.6
2023,1,306,6.9
2023,2,509,11.5
2023,3,379,8.6
2023,4,235,5.3
2023,5,133,3.0
2023,6,2223,50.2
2023,8,1,0.0
2023,9,1,0.0
2023,10,4,0.1
2023,11,387,8.7
2023,12,252,5.7
2024,1,345,7.5
2024,2,480,10.5
2024,3,211,4.6
2024,4,185,4.0
2024,5,607,13.3
2024,6,157,3.4
2024,7,139,3.0
2024,8,266,5.8
2024,9,635,13.9
2024,10,1042,22.8
2024,11,485,10.6
2024,12,20,0.4
2025,1,286,6.1
2025,2,425,9.0
2025,3,269,5.7
2025,4,285,6.1
2025,5,278,5.9
2025,6,293,6.2
2025,7,536,11.4
2025,8,380,8.1
2025,9,775,16.5
2025,10,731,15.6
2025,11,394,8.4
2025,12,46,1.0
2026,1,3102,73.1
2026,2,1,0.0
2026,5,1,0.0
2026,6,3,0.1
2026,7,286,6.7
2026,8,807,19.0
2026,9,43,1.0
