ventana,gobierno,cps,mediana_meses,promedio_meses,cps_6_meses_o_mas,pct_6_meses_o_mas,cps_7_meses_o_mas,pct_7_meses_o_mas,cps_menos_de_3_meses,pct_menos_de_3_meses,anio,menos de 1 mes,1 a 3 meses,3 a 6 meses,6 a 9 meses,9 a 12 meses,pct_cruza_al_anio_siguiente
Gobierno completo observado,Alfonso Eljach,12683.000000,3.909651,3.714520,1052.000000,8.294568,419.000000,3.303635,4638.000000,36.568635,,,,,,,
Gobierno completo observado,Jonathan Vásquez,13285.000000,3.022587,3.471420,499.000000,3.756116,169.000000,1.272111,6139.000000,46.210011,,,,,,,
Año 3 del mandato (ene–ago),Alfonso Eljach,3346.000000,4.139630,4.323696,33.000000,0.986252,12.000000,0.358637,560.000000,16.736402,,,,,,,
Año 3 del mandato (ene–ago),Jonathan Vásquez,4078.000000,3.942505,3.952938,101.000000,2.476704,13.000000,0.318784,1443.000000,35.384993,,,,,,,
,,,3.022587,,,,,0.781805,,,2021.000000,3.162758,34.186212,61.336176,1.314854,0.000000,0.035537
,,,3.745380,,,,,0.218261,,,2022.000000,0.982175,25.263732,73.135686,0.545653,0.072754,0.109131
,,,4.041068,,,,,8.808053,,,2023.000000,7.206589,16.197666,54.015100,19.469229,3.111416,0.114390
,,,2.956879,,,,,0.879314,,,2024.000000,1.670697,49.461420,37.876456,10.419872,0.571554,0.087931
,,,3.285421,,,,,2.504859,,,2025.000000,2.720795,28.913842,62.988555,4.340315,1.036493,0.172749
,,,3.942505,,,,,0.316687,,,2026.000000,0.243605,34.640682,62.509135,2.314251,0.292326,0.000000
