ventana,gobierno,maximo_meses,cps_9_meses_o_mas,cps_10_meses_o_mas,cps_11_meses_o_mas,pct_9_o_mas_con_prorroga,pct_9_o_mas_firmados_en_enero,cps_vigencia_mayor_366_dias_excluidos,meses,Alfonso Eljach,Jonathan Vásquez
Gobierno completo observado,Alfonso Eljach,11.400411,140.000000,74.000000,43.000000,23.571429,50.714286,0.000000,,,
Gobierno completo observado,Jonathan Vásquez,10.644764,86.000000,28.000000,0.000000,47.674419,52.325581,1.000000,,,
Año 3 del mandato (ene–ago),Alfonso Eljach,10.447639,4.000000,4.000000,0.000000,0.000000,75.000000,0.000000,,,
Año 3 del mandato (ene–ago),Jonathan Vásquez,10.644764,12.000000,10.000000,0.000000,100.000000,100.000000,1.000000,,,
,,,,,,,,,6 a 7,633.000000,330.000000
,,,,,,,,,7 a 8,181.000000,56.000000
,,,,,,,,,8 a 9,98.000000,27.000000
,,,,,,,,,9 a 10,66.000000,58.000000
,,,,,,,,,10 a 11,31.000000,28.000000
,,,,,,,,,11 a 12,43.000000,0.000000
