grupo,finales_de_contrato,pct_renueva_15_dias,pct_renueva_30_dias,pct_renueva_60_dias,pct_renueva_90_dias,pct_renueva_180_dias,pct_renueva_365_dias,promedio_dias_espera,promedio_meses_espera,mediana_dias_espera,p75_dias_espera,mes_fin,renovaciones,promedio_dias,mediana_dias,mes
Todos (sin el cambio de gobierno),15579.000000,9.390847,23.589447,44.758970,55.241030,67.488286,74.895693,72.073192,2.367908,47.000000,95.000000,,,,,
2021,2781.000000,6.652283,30.564545,68.788206,74.613448,78.460985,82.092772,50.188787,1.648913,36.000000,50.000000,,,,,
2022,5426.000000,2.672318,9.988942,25.746406,39.845190,58.901585,69.627718,95.412652,3.134707,79.000000,129.000000,,,,,
2023,1620.000000,15.802469,40.864198,55.740741,57.222222,60.555556,63.827160,42.833656,1.407266,25.000000,38.000000,,,,,
2024,4405.000000,13.439274,24.812713,43.632236,55.505108,68.581158,77.616345,78.148289,2.567500,51.000000,105.000000,,,,,
2025,1347.000000,21.158129,39.198218,62.212324,74.016333,84.187082,85.671863,47.158579,1.549358,34.000000,64.000000,,,,,
Cambio de gobierno (nov-23 a ene-24),2610.000000,6.360153,12.375479,20.076628,24.137931,31.187739,39.272031,105.599024,3.469372,56.000000,160.000000,,,,,
,,,,,,,,,,,,1.000000,6.000000,26.500000,8.000000,enero
,,,,,,,,,,,,2.000000,2.000000,84.500000,84.500000,febrero
,,,,,,,,,,,,3.000000,9.000000,28.444444,4.000000,marzo
,,,,,,,,,,,,4.000000,80.000000,143.162500,157.000000,abril
,,,,,,,,,,,,5.000000,961.000000,61.709677,34.000000,mayo
,,,,,,,,,,,,6.000000,1478.000000,69.078484,70.000000,junio
,,,,,,,,,,,,7.000000,1454.000000,53.824622,41.000000,julio
,,,,,,,,,,,,8.000000,1327.000000,52.693293,40.000000,agosto
,,,,,,,,,,,,9.000000,681.000000,51.553598,27.000000,septiembre
,,,,,,,,,,,,10.000000,516.000000,52.509690,21.000000,octubre
,,,,,,,,,,,,11.000000,225.000000,64.911111,59.000000,noviembre
,,,,,,,,,,,,12.000000,4929.000000,89.778657,56.000000,diciembre
