ventana,gobierno,subtipo,contratos,promedio_nominal,mediana_nominal,anio,subtipo_cps,mediana_real,mediana_salarios_minimos,salario_minimo,solo_apoyo,apoyo_mas_ambiguos
Gobierno completo observado,Alfonso Eljach,Profesional,5894.000000,3723679.758544,3512019.230769,,,,,,,
Gobierno completo observado,Alfonso Eljach,Apoyo a la gestión,6237.000000,2065901.642530,1995901.639344,,,,,,,
Gobierno completo observado,Jonathan Vásquez,Profesional,6548.000000,4249817.185767,4024793.388430,,,,,,,
Gobierno completo observado,Jonathan Vásquez,Apoyo a la gestión,6467.000000,2601024.055476,2536458.333333,,,,,,,
Año 3 del mandato (ene–ago),Alfonso Eljach,Profesional,1602.000000,3773571.988116,3527524.834437,,,,,,,
Año 3 del mandato (ene–ago),Alfonso Eljach,Apoyo a la gestión,1701.000000,2013288.859478,1995901.639344,,,,,,,
Año 3 del mandato (ene–ago),Jonathan Vásquez,Profesional,1842.000000,4255675.134529,4058333.333333,,,,,,,
Año 3 del mandato (ene–ago),Jonathan Vásquez,Apoyo a la gestión,2215.000000,2698061.770416,2536458.333333,,,,,,,
,,,1369.000000,,1995901.639344,2021.000000,Apoyo a la gestión,2925784.807775,2.196857,908526.000000,,
,,,1332.000000,,3481413.299224,2021.000000,Profesional,5108247.227968,3.831936,908526.000000,,
,,,2923.000000,,1995901.639344,2022.000000,Apoyo a la gestión,2608413.674493,1.995902,1000000.000000,,
,,,2472.000000,,3515707.094369,2022.000000,Profesional,4742240.972100,3.515707,1000000.000000,,
,,,1945.000000,,1995901.639344,2023.000000,Apoyo a la gestión,2397718.759855,1.720605,1160000.000000,,
,,,2090.000000,,3509351.184191,2023.000000,Profesional,4244522.152925,3.025303,1160000.000000,,
,,,1942.000000,,2494877.049180,2024.000000,Apoyo a la gestión,2794098.768373,1.919136,1300000.000000,,
,,,2518.000000,,4013736.263736,2024.000000,Profesional,4501589.178375,3.087489,1300000.000000,,
,,,2310.000000,,2508585.164835,2025.000000,Apoyo a la gestión,2656636.071711,1.762266,1423500.000000,,
,,,2188.000000,,4047980.103982,2025.000000,Profesional,4329716.578548,2.843681,1423500.000000,,
,,,2215.000000,,2536458.333333,2026.000000,Apoyo a la gestión,2640998.545033,1.448656,1750905.000000,,
,,,1842.000000,,4058333.333333,2026.000000,Profesional,4225597.672053,2.317849,1750905.000000,,
,,,,,,2021.000000,,,,,2925784.807775,2925784.807775
,,,,,,2022.000000,,,,,2608413.674493,2610964.209276
,,,,,,2023.000000,,,,,2397718.759855,2404739.907928
,,,,,,2024.000000,,,,,2794098.768373,2794098.768373
,,,,,,2025.000000,,,,,2656636.071711,2656636.071711
,,,,,,2026.000000,,,,,2640998.545033,2640998.545033
