indicador,valor
Personas con CPS vigente en oct–dic 2023,2709.000000
"De ellas, recontratadas en el nuevo gobierno (hasta el corte)",1085.000000
% recontratadas hasta el corte,40.051680
% recontratadas en el primer trimestre de 2024,15.909930
"Días sin contrato entre ambos gobiernos (mediana, recontratadas)",160.000000
Personas con CPS en 2024,2666.000000
% de las personas de 2024 que venían del gobierno anterior,43.735934
Personas con CPS en el gobierno anterior (desde abr-2021),4986.000000
Personas con CPS en el gobierno actual (hasta el corte),5256.000000
Personas con CPS en ambos gobiernos,1579.000000
2024-01,7.161314
2024-02,13.547434
2024-03,15.909930
2024-04,18.087855
2024-05,22.517534
2024-06,23.329642
2024-07,23.883352
2024-08,24.104836
2024-09,26.135105
2024-10,28.719085
2024-11,31.192322
2024-12,31.229236
2025-01,31.229236
2025-02,31.413806
2025-03,31.746032
2025-04,32.225914
2025-05,32.964193
2025-06,33.776301
2025-07,34.182355
2025-08,34.551495
2025-09,35.548173
2025-10,36.803248
2025-11,37.615356
2025-12,37.689184
2026-01,39.977852
2026-02,39.977852
2026-03,39.977852
2026-04,39.977852
2026-05,39.977852
2026-06,39.977852
2026-07,40.014766
2026-08,40.051680
2026-09,40.051680
