dependencia,2021,2022,2023,2024,2025,2026,Alfonso Eljach,Jonathan Vásquez,cambio_puntos
Adulto mayor,117,78,130,139,22,0,5.798394,2.155865,-3.642529
Agricultura,46,19,17,48,18,0,1.462979,0.883771,-0.579209
Ambiente,28,71,64,160,171,117,2.908118,5.998929,3.090811
Cultura,75,196,155,106,97,96,7.600357,4.003749,-3.596607
Despacho y oficinas,52,84,78,112,70,34,3.818020,2.892341,-0.925679
Educación,142,174,209,273,315,337,9.366637,12.386181,3.019544
Empleo y desarrollo económico,81,175,229,237,98,101,8.652988,5.838243,-2.814745
Espacio público,10,47,14,80,14,0,1.266726,1.258704,-0.008022
General,0,0,0,0,20,32,0.000000,0.696304,0.696304
Gestión del riesgo,46,75,83,148,132,81,3.639607,4.833958,1.194351
Hacienda,53,138,221,205,183,164,7.350580,7.391537,0.040957
Infraestructura,43,46,71,89,179,181,2.854594,6.012319,3.157725
Interior,330,200,293,251,229,225,14.683318,9.440279,-5.243040
Jurídica,110,91,43,169,117,100,4.353256,5.168720,0.815464
"Mujer, familia e inclusión",56,111,82,117,272,163,4.442462,7.391537,2.949075
Planeación,118,173,171,152,138,167,8.242640,6.119443,-2.123198
Recurso físico,21,101,76,159,26,0,3.532560,2.477236,-1.055324
Salud,50,11,29,129,92,124,1.605709,4.619711,3.014002
Seguridad y convivencia,16,22,6,120,214,233,0.785013,7.592394,6.807381
TIC,19,17,21,32,6,0,1.016949,0.508838,-0.508111
Talento humano,144,151,76,131,43,0,6.619090,2.329941,-4.289149
