fecha,personas_con_cps,valor_diario_real,anio
2021-04-01,0,0.000000,2021
2021-04-02,0,0.000000,2021
2021-04-03,0,0.000000,2021
2021-04-04,0,0.000000,2021
2021-04-05,0,0.000000,2021
2021-04-06,0,0.000000,2021
2021-04-07,0,0.000000,2021
2021-04-08,0,0.000000,2021
2021-04-09,0,0.000000,2021
2021-04-10,0,0.000000,2021
2021-04-11,0,0.000000,2021
2021-04-12,0,0.000000,2021
2021-04-13,0,0.000000,2021
2021-04-14,0,0.000000,2021
2021-04-15,0,0.000000,2021
2021-04-16,4,669632.693463,2021
2021-04-17,4,669632.693463,2021
2021-04-18,4,669632.693463,2021
2021-04-19,8,1218494.071598,2021
2021-04-20,8,1218494.071598,2021
2021-04-21,11,1590852.041594,2021
2021-04-22,13,1933588.698125,2021
2021-04-23,21,3599640.774185,2021
2021-04-24,21,3599640.774185,2021
2021-04-25,21,3599640.774185,2021
2021-04-26,21,3599640.774185,2021
2021-04-27,41,6710874.650901,2021
2021-04-28,46,7477231.283524,2021
2021-04-29,61,9645419.002167,2021
2021-04-30,65,10270069.329546,2021
2021-05-01,65,10270069.329546,2021
2021-05-02,65,10270069.329546,2021
2021-05-03,87,13403401.965047,2021
2021-05-04,104,15563091.950586,2021
2021-05-05,128,18903792.602974,2021
2021-05-06,137,20164683.034759,2021
2021-05-07,156,23027824.571591,2021
2021-05-08,156,23027824.571591,2021
2021-05-09,156,23027824.571591,2021
2021-05-10,162,24078109.731423,2021
2021-05-11,170,25231232.996582,2021
2021-05-12,176,26000146.308934,2021
2021-05-13,187,27452341.133307,2021
2021-05-14,201,29221733.890703,2021
2021-05-15,201,29221733.890703,2021
2021-05-16,200,29023243.418048,2021
2021-05-17,200,29023243.418048,2021
2021-05-18,212,30993237.803360,2021
2021-05-19,228,33106687.213832,2021
2021-05-20,265,37592782.168816,2021
2021-05-21,280,39397840.226529,2021
2021-05-22,281,39489657.362225,2021
2021-05-23,281,39489657.362225,2021
2021-05-24,309,42872462.899098,2021
2021-05-25,326,44709526.821377,2021
2021-05-26,341,46365719.221867,2021
2021-05-27,375,51308793.822989,2021
2021-05-28,383,52223329.324984,2021
2021-05-29,383,52223329.324984,2021
2021-05-30,383,52223329.324984,2021
2021-05-31,400,54309604.678892,2021
2021-06-01,427,58075377.750769,2021
2021-06-02,438,59223118.210455,2021
2021-06-03,451,61122511.694943,2021
2021-06-04,476,63941846.445590,2021
2021-06-05,476,63941846.445590,2021
2021-06-06,476,63941846.445590,2021
2021-06-07,476,63941846.445590,2021
2021-06-08,510,68457249.258139,2021
2021-06-09,532,71021807.319298,2021
2021-06-10,568,75522480.060186,2021
2021-06-11,604,79946123.641821,2021
2021-06-12,605,80163705.224742,2021
2021-06-13,605,80163705.224742,2021
2021-06-14,605,80163705.224742,2021
2021-06-15,617,81625671.379115,2021
2021-06-16,625,82699033.858458,2021
2021-06-17,627,82954771.052297,2021
2021-06-18,643,85083575.883823,2021
2021-06-19,643,85083575.883823,2021
2021-06-20,643,85083575.883823,2021
2021-06-21,653,86202465.523823,2021
2021-06-22,661,87161440.018805,2021
2021-06-23,666,87681979.610434,2021
2021-06-24,684,89880049.070613,2021
2021-06-25,694,91241918.112431,2021
2021-06-26,694,91241918.112431,2021
2021-06-27,694,91241918.112431,2021
2021-06-28,701,91940644.051266,2021
2021-06-29,709,92839166.643636,2021
2021-06-30,727,94795464.525568,2021
2021-07-01,740,96741334.238341,2021
2021-07-02,765,99663356.840985,2021
2021-07-03,763,99311931.086120,2021
2021-07-04,763,99311931.086120,2021
2021-07-05,762,99214312.820879,2021
2021-07-06,773,100431508.282117,2021
2021-07-07,785,102849696.478692,2021
2021-07-08,792,103864694.860868,2021
2021-07-09,803,105557075.629041,2021
2021-07-10,803,105557075.629041,2021
2021-07-11,803,105557075.629041,2021
2021-07-12,824,107971198.952870,2021
2021-07-13,845,111037216.149334,2021
2021-07-14,848,111632641.920346,2021
2021-07-15,855,112409932.804350,2021
2021-07-16,868,114787546.082121,2021
2021-07-17,868,114787546.082121,2021
2021-07-18,865,114009354.075994,2021
2021-07-19,868,114726122.421753,2021
2021-07-20,860,113716133.929094,2021
2021-07-21,864,114585851.427165,2021
2021-07-22,872,115952438.304380,2021
2021-07-23,882,117404442.887981,2021
2021-07-24,876,116719946.449042,2021
2021-07-25,874,116526647.215997,2021
2021-07-26,889,118370896.246034,2021
2021-07-27,890,118691506.040651,2021
2021-07-28,914,122331234.780016,2021
2021-07-29,922,123544685.573775,2021
2021-07-30,954,128241511.695120,2021
2021-07-31,942,126807850.572523,2021
2021-08-01,936,126049151.082822,2021
2021-08-02,941,127224728.620842,2021
2021-08-03,938,126955555.267044,2021
2021-08-04,930,126326884.173693,2021
2021-08-05,933,126818746.705186,2021
2021-08-06,944,129472523.912312,2021
2021-08-07,934,128075833.580660,2021
2021-08-08,924,126774378.678158,2021
2021-08-09,936,128708513.500101,2021
2021-08-10,924,141196752.499637,2021
2021-08-11,921,126630816.684133,2021
2021-08-12,926,127103973.966241,2021
2021-08-13,934,128313962.064829,2021
2021-08-14,925,127235298.103621,2021
2021-08-15,922,126928266.314388,2021
2021-08-16,915,125941397.190402,2021
2021-08-17,924,127275507.778570,2021
2021-08-18,931,128120711.835110,2021
2021-08-19,940,129379034.607889,2021
2021-08-20,935,128741499.897238,2021
2021-08-21,925,127306209.589819,2021
2021-08-22,915,125717534.221241,2021
2021-08-23,946,128798304.565169,2021
2021-08-24,936,127862083.792740,2021
2021-08-25,945,129915260.293508,2021
2021-08-26,986,135239271.649550,2021
2021-08-27,1043,141694926.847237,2021
2021-08-28,1037,140919477.932820,2021
2021-08-29,1027,139466476.090910,2021
2021-08-30,1042,141689537.448980,2021
2021-08-31,1074,145759463.069195,2021
2021-09-01,1135,153258288.039349,2021
2021-09-02,1150,155733865.623133,2021
2021-09-03,1164,158214452.001969,2021
2021-09-04,1151,156671963.281946,2021
2021-09-05,1142,155267632.431111,2021
2021-09-06,1156,157302008.143314,2021
2021-09-07,1160,157817490.791821,2021
2021-09-08,1164,158888264.532589,2021
2021-09-09,1181,162007716.691912,2021
2021-09-10,1196,165599341.954664,2021
2021-09-11,1176,162882698.138578,2021
2021-09-12,1171,162262681.331567,2021
2021-09-13,1240,170305183.221216,2021
2021-09-14,1282,175849507.818924,2021
2021-09-15,1323,185086494.981030,2021
2021-09-16,1342,188338338.753580,2021
2021-09-17,1357,190660602.362895,2021
2021-09-18,1347,189464088.872519,2021
2021-09-19,1343,188871801.974345,2021
2021-09-20,1355,190788865.040250,2021
2021-09-21,1362,191378754.255235,2021
2021-09-22,1371,193162810.034837,2021
2021-09-23,1368,192761151.987237,2021
2021-09-24,1372,193757635.338867,2021
2021-09-25,1364,189651571.205987,2021
2021-09-26,1363,189570086.935797,2021
2021-09-27,1399,194339815.555818,2021
2021-09-28,1425,197772844.700507,2021
2021-09-29,1430,198580139.601156,2021
2021-09-30,1420,196727258.223402,2021
2021-10-01,1431,198855973.326348,2021
2021-10-02,1423,198076969.883883,2021
2021-10-03,1419,197617478.694028,2021
2021-10-04,1432,199739005.488078,2021
2021-10-05,1437,200374682.131825,2021
2021-10-06,1437,200434259.559764,2021
2021-10-07,1437,200140599.050941,2021
2021-10-08,1431,199304997.449318,2021
2021-10-09,1422,198022081.867519,2021
2021-10-10,1417,197534370.220226,2021
2021-10-11,1418,217676754.980183,2021
2021-10-12,1422,197911653.038138,2021
2021-10-13,1430,199304431.623032,2021
2021-10-14,1435,199543149.126970,2021
2021-10-15,1447,202272115.886157,2021
2021-10-16,1442,201442489.847129,2021
2021-10-17,1436,200448361.846977,2021
2021-10-18,1429,199431000.549236,2021
2021-10-19,1433,200134476.619440,2021
2021-10-20,1453,203578151.015229,2021
2021-10-21,1458,204429241.117001,2021
2021-10-22,1470,206028635.341997,2021
2021-10-23,1465,205252766.393202,2021
2021-10-24,1460,204529366.121872,2021
2021-10-25,1459,204445483.293653,2021
2021-10-26,1467,205964840.251081,2021
2021-10-27,1483,208007868.485086,2021
2021-10-28,1492,209427041.966042,2021
2021-10-29,1569,219737700.070284,2021
2021-10-30,1560,218778818.815157,2021
2021-10-31,1559,218615051.409383,2021
2021-11-01,1555,218051464.985881,2021
2021-11-02,1552,217984972.974381,2021
2021-11-03,1558,218887293.822499,2021
2021-11-04,1567,220368321.324751,2021
2021-11-05,1569,220683377.726334,2021
2021-11-06,1565,220118739.983613,2021
2021-11-07,1564,220003585.695027,2021
2021-11-08,1576,221832305.506746,2021
2021-11-09,1591,223781490.307514,2021
2021-11-10,1628,233421741.999228,2021
2021-11-11,1651,243977300.968428,2021
2021-11-12,1676,248026715.313705,2021
2021-11-13,1659,241126192.475473,2021
2021-11-14,1656,240724600.987225,2021
2021-11-15,1649,239904533.188764,2021
2021-11-16,1653,240463364.135954,2021
2021-11-17,1657,241067861.862412,2021
2021-11-18,1669,242875602.198585,2021
2021-11-19,1688,246001684.416214,2021
2021-11-20,1688,245964890.339473,2021
2021-11-21,1689,246316789.044075,2021
2021-11-22,1691,246968667.491865,2021
2021-11-23,1694,248038757.876227,2021
2021-11-24,1714,253262429.490921,2021
2021-11-25,1723,254534285.895957,2021
2021-11-26,1745,255586552.791742,2021
2021-11-27,1742,254870044.108363,2021
2021-11-28,1737,254176941.641330,2021
2021-11-29,1751,256143849.660628,2021
2021-11-30,1752,256672076.620002,2021
2021-12-01,1727,254386691.947450,2021
2021-12-02,1731,254871915.676824,2021
2021-12-03,1733,255261059.459749,2021
2021-12-04,1726,254797561.607247,2021
2021-12-05,1723,254360907.892597,2021
2021-12-06,1722,254270441.068304,2021
2021-12-07,1727,255319239.418233,2021
2021-12-08,1723,254787344.199358,2021
2021-12-09,1715,253506578.928984,2021
2021-12-10,1707,252084948.842023,2021
2021-12-11,1694,250610983.981429,2021
2021-12-12,1663,246615237.000870,2021
2021-12-13,1590,238904530.884283,2021
2021-12-14,1566,235553495.050910,2021
2021-12-15,1538,231103983.979845,2021
2021-12-16,1492,224651408.491250,2021
2021-12-17,1465,220423560.874190,2021
2021-12-18,1430,215444589.276282,2021
2021-12-19,1397,210141192.666786,2021
2021-12-20,1353,204439634.013585,2021
2021-12-21,1303,197095754.849766,2021
2021-12-22,1247,188428325.474848,2021
2021-12-23,1180,179510041.308643,2021
2021-12-24,1079,165037190.985119,2021
2021-12-25,991,151508441.049948,2021
2021-12-26,843,130192044.273122,2021
2021-12-27,578,94279531.426954,2021
2021-12-28,351,58321558.830092,2021
2021-12-29,135,28496141.496709,2021
2021-12-30,58,19905512.599646,2021
2021-12-31,24,11630312.889129,2021
2022-01-01,1,133634.738883,2022
2022-01-02,1,133634.738883,2022
2022-01-03,1,133634.738883,2022
2022-01-04,1,133634.738883,2022
2022-01-05,1,133634.738883,2022
2022-01-06,1,133634.738883,2022
2022-01-07,1,133634.738883,2022
2022-01-08,1,133634.738883,2022
2022-01-09,1,133634.738883,2022
2022-01-10,1,133634.738883,2022
2022-01-11,1,133634.738883,2022
2022-01-12,1,133634.738883,2022
2022-01-13,1,133634.738883,2022
2022-01-14,1,133634.738883,2022
2022-01-15,1,133634.738883,2022
2022-01-16,1,133634.738883,2022
2022-01-17,5,873308.273244,2022
2022-01-18,52,9128489.710260,2022
2022-01-19,161,27535169.647277,2022
2022-01-20,275,45822170.730849,2022
2022-01-21,391,73958792.114377,2022
2022-01-22,472,86091754.404021,2022
2022-01-23,475,103347209.467730,2022
2022-01-24,601,105680656.941665,2022
2022-01-25,704,111351260.652773,2022
2022-01-26,818,126398021.972864,2022
2022-01-27,947,143981990.501253,2022
2022-01-28,1030,156039488.695122,2022
2022-01-29,1037,175584218.612441,2022
2022-01-30,1036,156887909.235786,2022
2022-01-31,1042,157900508.613544,2022
2022-02-01,1393,195725863.204754,2022
2022-02-02,1495,207685517.550058,2022
2022-02-03,1537,226354487.419346,2022
2022-02-04,1606,222151891.897781,2022
2022-02-05,1607,222226218.487127,2022
2022-02-06,1607,222226218.487127,2022
2022-02-07,1677,230360571.192468,2022
2022-02-08,1715,234133839.751368,2022
2022-02-09,1729,235732737.037975,2022
2022-02-10,1775,241004560.583643,2022
2022-02-11,1812,246041937.316272,2022
2022-02-12,1812,246041937.316272,2022
2022-02-13,1812,246041937.316272,2022
2022-02-14,1880,254156857.293632,2022
2022-02-15,1991,265620133.816575,2022
2022-02-16,2159,295437209.292348,2022
2022-02-17,2285,308990411.048815,2022
2022-02-18,2388,308059586.553701,2022
2022-02-19,2390,308611387.300007,2022
2022-02-20,2390,308611387.300007,2022
2022-02-21,2458,316709460.321948,2022
2022-02-22,2504,320873287.887303,2022
2022-02-23,2542,324792813.820898,2022
2022-02-24,2574,328006349.174944,2022
2022-02-25,2591,330105777.888747,2022
2022-02-26,2592,330190761.113187,2022
2022-02-27,2593,330285980.412278,2022
2022-02-28,2601,331175797.653050,2022
2022-03-01,2638,335381383.789654,2022
2022-03-02,2653,336907687.613515,2022
2022-03-03,2662,337985591.730332,2022
2022-03-04,2663,338062846.945570,2022
2022-03-05,2663,338062846.945570,2022
2022-03-06,2663,338062846.945570,2022
2022-03-07,2681,340096308.304453,2022
2022-03-08,2690,341208007.255855,2022
2022-03-09,2699,342170433.940591,2022
2022-03-10,2701,342337813.464941,2022
2022-03-11,2703,342505192.989291,2022
2022-03-12,2703,342505192.989291,2022
2022-03-13,2703,342505192.989291,2022
2022-03-14,2708,343022311.789794,2022
2022-03-15,2709,343099989.164678,2022
2022-03-16,2710,343190877.653194,2022
2022-03-17,2710,343212871.241300,2022
2022-03-18,2712,343589881.477224,2022
2022-03-19,2712,343589881.477224,2022
2022-03-20,2712,343589881.477224,2022
